Time,Voltage
2008,14
2108,13
2208,14
2309,14
2409,14
2509,14
2610,14
2710,14
2810,14
2911,14
3011,15
3112,15
3213,14
3313,14
3414,14
3514,14
3614,14
3715,14
3815,14
3915,14
4016,14
4116,14
4216,15
4318,15
4418,14
4518,14
4619,14
4719,14
4819,14
4920,14
5020,14
5121,14
5221,13
5321,14
5423,14
5523,14
5623,14
5724,14
5824,14
5924,14
6025,14
6125,14
6225,14
6326,14
6426,14
6526,14
6628,14
6728,14
6829,14
6929,14
7029,14
7130,14
7230,14
7330,14
7431,14
7531,15
7631,15
7732,15
7833,15
7933,15
8034,15
8134,15
8235,15
8335,15
8435,15
8536,15
8636,15
8736,15
8837,15
8938,15
9038,15
9139,15
9239,15
9339,15
9440,15
9540,15
9640,15
9741,15
9841,15
9942,15
10042,15
10143,15
10244,15
10344,15
10444,15
10545,14
10645,14
10745,14
